ozon_id,n_rows,n_answers,n_tasks,n_pages,n_projects,n_pools,active_days,span_days,skip_rate,tasks_per_page_mean,overlap_mean,overlap_std,price_mean,share_gold_tasks,share_rehab_pools,n_gold,gold_acc,gold_acc_std,gold_longest_success_streak,gold_longest_error_streak,gold_recent5_acc,gold_recent10_acc,gold_first5_acc,gold_class_gap,gold_learning_delta,n_regular,reg_agreement_proxy,reg_agreement_std,regular_answer_entropy,regular_answer_mode_share,per_task_sec_median,per_task_sec_mean,per_task_sec_std,fast_task_share,slow_task_share,mean_hour,weekend_share,answer_entropy,answer_mode_share,main_project_share,pct_label_1,answers_per_active_day,answers_per_span_day,gold_share_among_answers
114399905,25,25,25,25,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,22.88934,37.95948888,36.36842737032811,0.04,0.36,22.0,0.0,0.9895875212220556,0.56,1.0,0.56,25.0,25.0,
114403071,1,0,1,1,1,1,1,1,0.0,1.0,99.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
114408314,11,10,11,11,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,9.5855305,12.3814553,8.61182006947516,0.1,0.1,5.0,0.0,0.8812908992306927,0.7,1.0,0.7,10.0,10.0,
114420679,3,2,3,3,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,18.398286,18.398286,15.064924115315018,0.0,0.0,21.0,0.0,-0.0,1.0,1.0,1.0,2.0,2.0,
114452647,23,21,23,23,2,2,2,5,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,23.529255499999998,25.17430565,17.03973997834493,0.05,0.2,7.2,0.0,0.9182958340544896,0.6666666666666666,1.0,0.6666666666666666,10.5,4.2,
114465263,46,46,46,46,2,2,2,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,6.746114,10.4439075,15.646388997789305,0.32608695652173914,0.043478260869565216,15.065217391304348,0.5434782608695652,0.9876925088958034,0.5652173913043478,0.5434782608695652,0.5652173913043478,23.0,46.0,
114491876,25,25,25,25,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,3.28983,5.74577424,5.6216546732407915,0.72,0.0,10.0,0.0,0.9426831892554922,0.64,1.0,0.64,25.0,25.0,
114493733,49,49,49,49,2,2,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,4.862151,6.614954714285715,4.228295364397524,0.5102040816326531,0.0,14.0,0.0,0.8886466698980793,0.6938775510204082,0.5102040816326531,0.6938775510204082,49.0,49.0,
114505508,71,71,71,71,3,3,3,3,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,8.828411500000001,23.992616285714288,53.99897878419297,0.22857142857142856,0.14285714285714285,8.985714285714286,0.0,0.9998568991526107,0.5070422535211268,0.352112676056338,0.5070422535211268,23.666666666666668,23.666666666666668,
114506805,25,25,25,25,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,13.871959,16.95134088,7.917433420495787,0.0,0.08,3.0,0.0,0.9988455359952018,0.52,1.0,0.48,25.0,25.0,
114524215,23,23,23,23,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,42.476389,49.353672347826084,24.004631009684392,0.0,0.7391304347826086,13.0,0.0,0.9876925088958034,0.5652173913043478,1.0,0.43478260869565216,23.0,23.0,
114541429,1156,974,1156,850,4,209,27,30,0.157439446366782,1.9048442906574394,4.959342560553633,16.624633292843246,53.73702422145329,0.023356401384083045,0.00865051903114187,25.0,0.76,0.43588989435406733,9.0,2.0,0.4,0.7,0.6,0.26623376623376616,0.09999999999999998,924.0,0.8517316017316018,0.35555829390602384,0.9889917712695262,0.5616883116883117,22.001521999999998,74.3104848224945,138.30101449783092,0.00942507068803016,0.31196983977379833,13.488218661639962,0.2290292177191329,0.9893865153452472,0.5605749486652978,0.6848049281314168,0.5605749486652978,36.074074074074076,32.46666666666667,0.02566735112936345
114549803,25,25,25,25,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,12.637139,14.87710376,8.014119339870982,0.04,0.04,6.0,0.0,0.9895875212220556,0.56,1.0,0.44,25.0,25.0,
114614264,74,74,74,74,3,3,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,25.9896,27.439878225352114,14.581786518191308,0.0,0.39436619718309857,12.52112676056338,0.0,0.9978913098356861,0.527027027027027,0.33783783783783783,0.527027027027027,74.0,74.0,
114620593,9,8,9,9,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,17.8939385,18.855650375,11.681408581491235,0.0,0.125,12.0,0.0,0.5435644431995964,0.875,1.0,0.875,8.0,8.0,
114647698,25,25,25,25,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,30.939153,44.3578396,72.559932611641,0.0,0.6,9.0,0.0,0.9895875212220556,0.56,1.0,0.56,25.0,25.0,
114659687,7,6,7,7,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,90.9546425,80.50438966666667,37.28249155425592,0.0,1.0,18.0,0.0,0.9182958340544896,0.6666666666666666,1.0,0.6666666666666666,6.0,6.0,
114659944,72,72,72,72,3,3,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,34.7007255,45.787195611111116,37.45442264869987,0.041666666666666664,0.6111111111111112,21.319444444444443,0.0,1.0,0.5,0.3472222222222222,0.5,72.0,72.0,
114663653,6,5,6,6,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,34.39531,40.3708076,15.776249952473757,0.0,0.8,23.0,0.0,0.7219280948873623,0.8,1.0,0.8,5.0,5.0,
114728154,73,73,73,73,3,3,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,14.349244,16.012436671232877,9.662031039816407,0.0273972602739726,0.0684931506849315,13.0,0.0,0.9605187074766162,0.6164383561643836,0.3424657534246575,0.6164383561643836,73.0,73.0,
114768834,24,24,24,24,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,24.6126775,25.741187,14.012258331605935,0.0,0.25,11.0,1.0,0.9182958340544896,0.6666666666666666,1.0,0.6666666666666666,24.0,24.0,
114776463,4,3,4,4,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,13.330745,20.834112,14.121855176941835,0.0,0.3333333333333333,11.0,0.0,0.9182958340544896,0.6666666666666666,1.0,0.3333333333333333,3.0,3.0,
114777646,3,2,3,3,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,77.070547,77.070547,45.511993175907406,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,2.0,2.0,
114813692,23,23,23,23,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,16.069235,16.25537295652174,6.178689749001957,0.0,0.0,20.0,0.0,0.9321115676166747,0.6521739130434783,1.0,0.6521739130434783,23.0,23.0,
114819085,23,23,23,23,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,37.466706,43.869233478260874,23.289682815630623,0.0,0.6521739130434783,22.0,0.0,0.9321115676166747,0.6521739130434783,1.0,0.6521739130434783,23.0,23.0,
114831933,72,72,72,72,3,3,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,24.202501,31.184728915492958,35.52446898926746,0.0,0.36619718309859156,13.985915492957746,1.0,0.9798687566511528,0.5833333333333334,0.3472222222222222,0.5833333333333334,72.0,72.0,
114835200,50,50,50,50,2,2,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,21.4806345,28.41515672,19.0304098927454,0.0,0.36,13.5,0.0,0.9953784388202257,0.54,0.5,0.54,50.0,50.0,
114848081,73,73,73,73,3,3,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,17.021283,20.728564753424656,18.03102533736863,0.0273972602739726,0.1917808219178082,15.986301369863014,0.0,0.9890076795739703,0.5616438356164384,0.3424657534246575,0.5616438356164384,73.0,73.0,
114861353,25,25,25,25,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,10.956083,10.93036184,3.403942712630552,0.04,0.0,17.0,0.0,0.7950402793845223,0.76,1.0,0.24,25.0,25.0,
114894688,5077,5021,5077,1853,1,80,24,30,0.011030135907031712,2.883789639550916,8.159740003939334,23.250449934455265,55.63359267283829,0.1016348237147922,0.061453614339176676,511.0,0.7808219178082192,0.4140949374770933,23.0,4.0,0.8,0.9,0.8,0.05759637188208622,0.09999999999999998,4510.0,0.8707317073170732,0.33553384948913106,0.996455773024082,0.5350332594235033,5.928777999999999,12.349097030210388,48.53814155575017,0.2682445759368836,0.020907297830374753,10.812228796844181,0.13629191321499015,0.9988892711998825,0.5196176060545709,1.0,0.5196176060545709,209.20833333333334,167.36666666666667,0.10177255526787493
114918802,9,8,9,9,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,11.549328500000001,12.5025575,3.875134627440703,0.0,0.0,18.0,0.0,0.954434002924965,0.625,1.0,0.375,8.0,8.0,
114920331,1,0,1,1,1,1,1,1,0.0,1.0,99.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
114953829,652,649,652,294,1,33,12,27,0.004601226993865031,2.647239263803681,4.394171779141105,11.837721078265915,60.66104294478528,0.05521472392638037,0.015337423312883436,36.0,0.8888888888888888,0.3187276291558383,23.0,1.0,0.8,0.9,0.8,0.19047619047619047,0.09999999999999998,609.0,0.9441707717569786,0.22978038084357957,0.6557100712804007,0.8308702791461412,5.671191499999999,8.921795298312883,32.00420325039783,0.23159509202453987,0.015337423312883436,7.507668711656442,0.007668711656441718,0.6873704383497657,0.8166409861325116,1.0,0.8166409861325116,54.083333333333336,24.037037037037038,0.05546995377503852
114961546,23,23,23,23,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,11.388121,15.386935818181819,12.39427709295836,0.0,0.09090909090909091,7.0,0.0,0.9876925088958034,0.5652173913043478,1.0,0.5652173913043478,23.0,23.0,
114968103,2,1,2,2,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,103.957539,103.957539,,0.0,1.0,12.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,
